instruction,option_a,option_b,option_c,option_d,correct_answer,chosen_answer,id
Anna ține un cub de gheață. De ce se topește cubul de gheață în mâna ei?,Căldura se mută din mâna ei către cubul de gheață.,Frigul se mută din mâna ei către cubul de gheață.,Căldura se mută din cubul de gheață către mâna ei.,Frigul se mută din cubul de gheață către mâna ei.,A,B,ARC-Challenge/test/Mercury_SC_415719
Vânturile care bat dinspre oceane către continent au tendința de a avea mai multă umiditate decât vânturile care bat peste uscat. Cum afectează conținutul ridicat de umiditate clima din zona de coastă?,Există mai puțină condensare.,Sunt mai puține uragane.,Există o precipitație mai mare.,Există mai multe zone pline de smog.,C,C,ARC-Challenge/test/Mercury_7005005
Care dintre următoarele reprezintă o regulă importantă de siguranță pe care trebuie să o urmăm atunci când utilizăm substanțe chimice?,Puneți părul lung în coadă.,Refrigerați toate substanțele chimice.,Etichetați corect toate tuburile de test și sticlele.,Aruncați chibriturile stinse la locul potrivit.,C,C,ARC-Challenge/test/Mercury_7038028
Ce poate fi cel mai probabil văzut fără ajutorul unui telescop într-o noapte senină?,galaxia Calea Lactee,luna altor planete,asteroizi,Pluton,A,B,ARC-Challenge/test/Mercury_7084665
Care dintre aceste fraze descrie cel mai bine atomii?,două sau mai multe elemente combinate,cele mai mici unități ale unui element,particule la interiorul unui nucleu,forme diferite ale unui element,B,B,ARC-Challenge/test/Mercury_7082758
Care dintre următoarele este un pas în ciclul de viață al unui pom de măr?,În țărână se dezvoltă ouăle din puieți.,Fructul se formează din flori.,Puieții cresc din frunze.,Florile fertilizate formează fructe.,D,B,ARC-Challenge/test/Mercury_401728
Un grup de ingineri a dorit să afle cum diferitele modele de clădiri ar reacționa în timpul unui cutremur. Au făcut mai multe modele de clădiri și au testat fiecare în ceea ce privește capacitatea sa de a rezista condițiilor de cutremur. Care este cel mai probabil rezultat al testării diferitelor modele de clădiri?,clădirile vor fi construite mai rapid,clădirile vor fi mai sigure,modelele de construcție ale clădirilor vor arăta mai plăcut,materialele de construcție vor fi mai ieftine,B,C,ARC-Challenge/test/Mercury_SC_409171
Ce adaptare ajută un vierme să se miște în sol?,piele umedă,corp în formă de tub,piele care respiră,gură foarte mică,B,D,ARC-Challenge/test/Mercury_SC_400052
"Toate cele următoarele sunt practici sigure în laborator, cu excepția",de a menține o masă organizată.,de a purta ochelari de protecție în timpul experimentelor.,de a amesteca substanțe chimice înainte de a citi instrucțiunile.,de a vă spăla bine mâinile după terminarea unui experiment.,C,B,ARC-Challenge/test/Mercury_7037555
Un deal din pădurea tropicală era odinioară acoperit complet de copaci. O companie de tăiat lemne a tăiat toți copacii. Care este o formă de degradare a mediului care va avea cel mai probabil loc în urma tăierii copacilor?,Va exista mai multă biodiversitate.,Solul va fi golit de mineralele sale.,Aerul va fi epuizat de dioxidul de carbon.,Va fi eliberat mai mult oxigen în aer.,B,B,ARC-Challenge/test/Mercury_7190120
Care este rolul mitocondriilor în celule?,Ele convertesc energia luminoasă în energie.,Ele controlează toate funcțiile celulei.,Ele transportă apa în tot corpul celulei.,Ele descompun zaharul pentru a elibera energie.,D,D,ARC-Challenge/test/OHAT_2009_8_34
"Toate aceste tipuri de unde călătoresc de la Soare la Pământ, cu excepția",undelor de lumină.,undelor sonore.,undelor infraroșii.,undelor ultraviolete.,B,B,ARC-Challenge/test/Mercury_7017045
"Gigantii luihați trăiau în Americi și în Caraibe pe vremea epocii de gheață. Majoritatea acestor luihați au dispărut cu aproximativ 10,000 de ani în urmă, la sfârșitul erei glaciare. Cu toate acestea, unii au rămas pe insulele din Caraibe până în jurul anului 4,200 î.Hr. Asta înseamnă că unii dintre acești luihați au trăit alături de oameni. Care este cea mai probabilă cauză a extincției acestor ultimi luihați gigantici?",boală,lipsa hranei,schimbarea climei,oamenii ca prădători,D,D,ARC-Challenge/test/Mercury_401926
"Deoarece Pământul radiază căldură în spațiu, de ce suprafața Pământului nu devine mai rece?",Pământul primește constant mai multă căldură de la Soare.,Pământul are păduri care produc căldură prin fotosinteză.,Pământul are oceane care stochează căldură.,Pământul absoarbe căldură suplimentară din lava topită.,A,C,ARC-Challenge/test/Mercury_SC_LBS10337
"O parte a Pământului este încălzită de Soare în mod constant. Dacă Pământul ar absorbi toată energia primită de la Soare, condițiile de mediu de pe planetă ar fi modificate și ecosistemele actuale ar fi nesustenabile. Care este o modalitate prin care Pământul pierde energia de la Soare?",Oceanele absorb energia.,Norii reflectă energia în spațiu.,Plantele stochează energia sub formă de substanțe chimice.,Atmosfera este încălzită de energia.,B,A,ARC-Challenge/test/Mercury_7161315
Care dintre următoarele trăsături este cel mai mult influențat de mediu?,Greutatea corporală,Culoarea ochilor,Grupa de sânge,Daltonism,A,A,ARC-Challenge/test/TAKS_2009_8_32
O mostră de substanță necunoscută ia forma recipientului în care se află. Ce întrebare trebuie să fie răspunsă pentru a furniza informațiile suplimentare necesare pentru a determina starea mostrei?,Este transparentă?,Este o mostră periculoasă?,Care este temperatura substanței?,Se va extinde la volumul unui recipient mai mare?,D,D. Se va extinde la volumul unui recipient mai mare?,ARC-Challenge/test/Mercury_7223143
Naomi are un câine de companie. Care dintre următoarele caracteristici probabil că a moștenit câinele de la părinții săi?,greutatea sa,hrana sa preferată,culoarea blănii sale,locul unde locuiește,C,D. locul unde locuiește,ARC-Challenge/test/MCAS_2009_5_6519
Care dintre aceste obiecte ar dura cel mai putin timp sa se descompuna in natura?,iarba taiata,pahare de hartie,ziare,copaci taiati,A,B,ARC-Challenge/test/Mercury_7011323
Un student vrea să arate că materia dintr-un măr întreg este egală cu materia din bucățile aceluiași măr. Care proces descrie cel mai bine modul în care studentul poate demonstra relația dintre materia din mărul întreg și bucățile de măr?,observarea bucăților de măr,tăierea mărului în mai multe bucăți,"observarea culorii mărului întreg, apoi observarea culorii bucăților de măr","determinarea masei întregului măr, apoi determinarea masei bucăților de măr",D,B,ARC-Challenge/test/MDSA_2010_5_29
Cantitatea de oxigen dizolvat găsită în apa oceanului poate varia. Creșterea căruia dintre acești factori ar provoca o creștere a conținutului de oxigen al apei oceanice?,temperatura,sărurile minerale,pontoane,presiunea,D,B. sărurile minerale,ARC-Challenge/test/Mercury_416376
Diversitatea dintre membrii unei specii este importantă deoarece diversitatea,asigură niveluri ridicate de competiție.,crește resursele ecosistemelor disponibile.,asigură varietatea de metode reproductive pentru o specie.,crește șansele de supraviețuire în condiții schimbătoare.,D,D,ARC-Challenge/test/Mercury_7116323
"Căprioarele sunt introduse într-un ecosistem de pajiști și populația lor crește considerabil. Dacă populația de căprioare continuă să crească, care este cel mai probabil rezultat pentru ecosistem?","Biodiversitatea ar scădea, iar durabilitatea ar scădea.","Biodiversitatea ar scădea, iar durabilitatea ar crește.","Biodiversitatea ar crește, iar durabilitatea ar crește.","Biodiversitatea ar crește, iar durabilitatea ar scădea.",A,A,ARC-Challenge/test/Mercury_7247678
Ce pas în reproducerea asexuală ai aștepta să găsești în volvox dar nu în amoeba?,diviziunea celulelor,replicarea ADN-ului,formarea unei plăci celulare,separarea cromatidelor,C,(d) separarea cromatidelor,ARC-Challenge/test/Mercury_416650
Unele plante non-native pot să se adapteze la mediul lor mai repede decât anumite plante native sau culturi. Care adaptare ar reduce cel mai probabil capacitatea unei plante de a supraviețui?,a avea un număr mare de semințe,a avea o rezistență la erbicide,a avea rădăcini care se dezvoltă rapid,a avea frunze care se formează într-un ritm lent,D,D. a avea frunze care se formează într-un ritm lent,ARC-Challenge/test/Mercury_7187373
"Care este masa unui atom de carbon care are 6 protoni, 7 neutroni și 6 electroni?",6,7,13,19,C,A,ARC-Challenge/test/Mercury_400877
